HQID,MLBAMID,Player,Age,Throws,Tm,LG,LIMA,"MM Code",MM,ADP,"Min ADP","Max ADP",DL,W,L,G,QS,SV,BS,HD,12$,15$,IP,H,ER,HR,BB,K,ERA,WHIP,BF/G,K9,K%,BB/9,BB%,Cmd,K-BB%,HR9,OOB,xERA,G%,L%,F%,H%,S%,RAR,BPX
5913,641712,"Hudson, Dakota",30,R,LAA,AL,D,"0000 DCB",0,,,,51,1,1,6,1,,,,-22,-22,29.0,36,21,4,16,16,6.52,1.79,22.3,5.0,11%,5.0,11%,1.0,,1.2,.389,5.56,51%,19%,30%,32%,64%,-5.2,-17.9356
7001,676714,"Hughes, Brandon",29,L,CHI,NL,F,"1000 AFF",0,,,,,,1,12,,,1,,-13,-13,15.0,14,6,2,5,11,3.60,1.27,5.1,6.6,17%,3.0,8%,2.2,9.8%,1.2,.310,4.36,44%,20%,36%,27%,76%,-0.5,68.1849
8052,676428,"Hurter, Brant",26,L,DET,AL,B,"2100 ADD",0,485.13,338,708,,4,3,12,4,,,,-10,-10,58.0,61,27,6,15,43,4.19,1.31,20.0,6.7,17%,2.3,6%,2.9,11.7%,0.9,.317,4.07,53%,13%,34%,31%,70%,0.2,100.51
4860,628452,"Iglesias, Raisel",35,R,ATL,NL,C+,"5431 CAA",72,68.99,39,198,37,6,3,73,,36,4,,17,17,73.0,59,23,7,15,83,2.84,1.01,3.8,10.2,29%,1.9,5%,5.5,24.3%,0.9,.264,3.18,41%,18%,41%,29%,76%,8.3,174.6696
7898,684007,"Imanaga, Shota",31,L,CHI,NL,C+,"3303 AAB",36,80.79,46,137,,13,7,26,9,,,,16,16,167.0,153,67,26,35,165,3.61,1.13,25.3,8.9,25%,1.9,5%,4.7,19.7%,1.4,.285,3.78,38%,17%,45%,29%,74%,6.6,142.5155
7892,683568,"Iriarte, Jairo",23,R,CWS,AL,B,"1200 ADD",0,456.48,590,747,,2,2,9,3,,,,-16,-16,44.0,47,23,5,20,42,4.70,1.52,21.2,8.6,21%,4.1,10%,2.1,11.5%,1.0,.351,4.51,42%,18%,40%,33%,71%,-2.2,73.1904
6438,663623,"Irvin, Jake",28,R,WSH,NL,A,"2103 ABB",24,432.67,273,598,11,6,7,30,10,,,,-7,-7,160.0,156,80,24,49,132,4.50,1.28,21.9,7.4,20%,2.8,7%,2.7,12.7%,1.4,.312,4.21,43%,19%,38%,29%,69%,-2.3,91.4681
4497,592426,"Jackson, Luke",33,R,TEX,AL,F,"3410 FFF",11,451.31,729,729,303,2,2,48,,2,,12,-11,-11,58.0,54,27,6,27,63,4.19,1.40,5.1,9.8,25%,4.2,11%,2.3,14.7%,0.9,.331,3.67,50%,20%,30%,32%,72%,3.1,103.657
7378,689690,"Jacob, Alek",26,R,SD,NL,F,"1300 AFF",0,,,,,1,,17,,,,,-17,-17,22.0,28,12,4,11,22,4.91,1.77,5.9,9.0,21%,4.5,10%,2.0,10.9%,1.6,.386,4.60,44%,20%,36%,37%,77%,-1.4,71.2635
7140,686753,"Jameson, Drey",27,R,ARI,NL,F,"2200 FFF",0,454.70,379,738,259,2,2,39,,,,,-13,-13,51.0,47,25,6,22,47,4.41,1.35,5.5,8.3,22%,3.9,10%,2.1,11.7%,1.1,.324,4.03,48%,20%,32%,29%,69%,0.4,80.3396
3555,445276,"Jansen, Kenley",37,R,LAA,AL,B+,"3530 CAB",42,215.68,86,499,34,3,3,59,,26,3,,4,4,58.0,42,24,7,22,73,3.72,1.10,3.9,11.3,32%,3.4,9%,3.3,22.4%,1.1,.281,3.66,30%,16%,53%,27%,70%,3.1,136.6776
6453,686826,"Jarvis, Bryce",27,R,ARI,NL,F,"0000 CFF",0,,,,46,1,2,37,,,,,-16,-16,51.0,49,25,6,27,36,4.41,1.49,5.9,6.3,16%,4.8,12%,1.3,4.1%,1.1,.346,5.09,44%,20%,36%,28%,72%,-6.2,8.8709
6244,664299,"Javier, Cristian",27,R,HOU,AL,C+,"1300 FAC",0,479.31,480,749,139,2,2,7,,,,,-10,-10,29.0,22,12,4,14,31,3.72,1.24,16.8,9.6,26%,4.3,11%,2.2,14.4%,1.2,.306,4.41,26%,21%,52%,26%,75%,-1.1,68.3901
6709,643377,"Jax, Griffin",30,R,MIN,AL,B,"5410 ABB",15,310.09,146,543,,5,4,53,,6,5,24,4,4,58.0,44,19,5,14,68,2.95,1.00,4.2,10.6,30%,2.2,6%,4.9,24.4%,0.8,.262,2.89,49%,15%,35%,28%,73%,8.7,180.5075
5480,641729,"Jimenez, Joe",30,R,ATL,NL,A,"5500 ACB",0,454.35,378,735,15,,,17,,,,,-11,-11,15.0,10,6,2,4,19,3.60,0.93,3.3,11.4,33%,2.4,7%,4.8,26.7%,1.2,.249,2.96,37%,18%,45%,25%,66%,2.1,177.1895
7953,695549,"Jobe, Jackson",22,R,DET,AL,A,"2201 AFF",7,270.44,165,428,,5,3,17,5,,,,-3,-3,87.0,78,35,10,31,84,3.62,1.25,20.8,8.7,23%,3.2,8%,2.7,15.0%,1.0,.308,3.91,43%,20%,37%,29%,74%,2.0,103.4745
5164,572955,"Johnson, Pierce",33,R,ATL,NL,C,"4510 FFF",14,496.62,320,750,161,4,3,58,,2,,25,-5,-5,58.0,52,23,6,25,73,3.57,1.33,4.2,11.3,30%,3.9,10%,2.9,20.0%,0.9,.320,3.38,48%,18%,36%,33%,76%,5.2,142.7322
6754,683003,"Jones, Jared",23,R,PIT,NL,A,"2305 DDA",60,150.02,88,257,55,10,9,32,11,,,,7,7,181.0,160,80,23,61,180,3.98,1.22,22.9,8.9,24%,3.0,8%,3.0,16.3%,1.1,.302,3.99,37%,21%,42%,29%,71%,2.5,107.5109
7279,690829,"Joyce, Ben",24,R,LAA,AL,A,"4310 DFC",12,249.23,106,561,101,3,3,53,,9,2,32,-1,-1,58.0,43,20,4,27,61,3.10,1.21,4.4,9.5,26%,4.2,11%,2.3,14.6%,0.6,.300,3.40,57%,16%,28%,27%,75%,5.0,105.2761
5447,596001,"Junis, Jakob",32,R,CLE,AL,A,"3201 FBA",9,507.08,461,749,123,4,4,29,,,1,,-5,-5,80.0,80,35,12,17,72,3.94,1.21,11.1,8.1,22%,1.9,5%,4.2,17.1%,1.4,.301,3.82,41%,21%,38%,30%,72%,2.7,129.1066
6845,676083,"Junk, Janson",29,R,MIA,NL,F,"1000 AFF",0,,,,,1,2,9,,,,1,-11,-11,22.0,21,8,2,7,15,3.27,1.27,10.0,6.1,16%,2.9,7%,2.1,8.9%,0.8,.311,4.47,44%,20%,36%,28%,76%,-1.0,63.0539
4591,592454,"Kahnle, Tommy",35,R,DET,AL,A+,"4310 FCB",12,481.79,359,739,276,,,47,,4,1,14,-5,-5,44.0,34,12,5,18,45,2.45,1.18,3.8,9.2,25%,3.7,10%,2.5,15.3%,1.0,.295,3.55,53%,14%,33%,26%,85%,3.0,110.8745
6517,621076,"Kaprielian, James",31,R,TOR,AL,F,"0000 AFF",0,,,,,1,1,4,1,,,,-20,-20,15.0,21,12,4,11,9,7.20,2.13,18.6,5.4,12%,6.6,14%,0.8,-2.7%,2.4,.431,6.64,44%,20%,36%,33%,71%,-4.7,-67.2727
6272,675916,"Karinchak, James",29,R,CWS,AL,F,"2500 FFF",0,472.54,503,750,261,1,1,29,,,,,-13,-13,29.0,24,13,4,20,39,4.03,1.52,4.3,12.1,31%,6.2,15%,1.9,15.1%,1.2,.350,4.21,33%,22%,45%,31%,77%,-0.4,69.7014
5812,641745,"Keller, Brad",29,R,CHI,NL,F,"1000 AFF",0,451.28,704,704,,1,1,3,0,,,,-13,-13,15.0,16,6,1,5,9,3.60,1.40,21.1,5.4,14%,3.0,7%,1.8,6.3%,0.6,.332,4.79,44%,20%,36%,31%,75%,-1.3,43.5562
6011,656605,"Keller, Mitch",28,R,PIT,NL,A+,"3205 AAA",65,292.08,153,351,,11,9,31,10,,,,2,2,181.0,182,81,22,59,171,4.03,1.33,24.2,8.5,22%,2.9,7%,2.9,14.9%,1.1,.321,3.91,43%,23%,34%,32%,73%,4.3,108.195
7227,687330,"Kelly, Kevin",27,R,TB,AL,A,"4100 ACC",0,454.68,664,747,17,4,3,54,,,3,10,-1,-1,58.0,49,21,5,12,49,3.26,1.05,4.2,7.6,21%,1.9,5%,4.1,16.5%,0.8,.272,3.28,54%,17%,28%,27%,71%,5.8,135.2067
6047,518876,"Kelly, Merrill",36,R,ARI,NL,A+,"3203 FAA",33,300.18,155,369,143,10,8,26,10,,,,8,8,152.0,133,65,20,43,135,3.85,1.16,23.3,8.0,22%,2.5,7%,3.1,15.2%,1.2,.291,3.82,43%,20%,36%,27%,71%,5.2,109.4265
7118,677161,"Kelly, Zack",30,R,BOS,AL,B,"3300 FDF",0,451.73,566,740,165,1,1,13,,,1,,-12,-12,15.0,13,6,2,7,16,3.60,1.33,4.8,9.6,25%,4.2,11%,2.3,14.4%,1.2,.321,3.78,47%,18%,35%,29%,77%,0.6,96.2342
7885,689147,"Kerkering, Orion",23,R,PHI,NL,A,"5420 BDA",32,344.78,149,585,18,5,3,67,,10,2,14,6,6,65.0,50,21,4,18,75,2.91,1.05,3.8,10.4,29%,2.5,7%,4.2,22.7%,0.6,.271,2.77,52%,22%,26%,29%,73%,10.6,170.5876
2840,477132,"Kershaw, Clayton",36,L,LA,NL,B,"3201 FAB",9,485.14,220,657,231,8,4,19,8,,,,3,3,102.0,92,42,11,26,88,3.71,1.16,21.4,7.8,21%,2.3,6%,3.4,15.3%,1.0,.291,3.80,44%,21%,35%,28%,71%,3.8,113.8505
6030,579328,"Kikuchi, Yusei",33,L,LAA,AL,A,"4403 BAA",45,163.44,108,237,24,9,11,31,11,,,,9,9,174.0,157,76,29,50,204,3.93,1.19,22.5,10.6,29%,2.6,7%,4.1,22.1%,1.5,.297,3.29,43%,19%,37%,30%,73%,17.4,160.7362
7027,668873,"Kilian, Caleb",27,R,CHI,NL,F,"1000 AFF",0,461.59,352,746,,1,,4,,,,,-13,-13,15.0,15,6,1,5,10,3.60,1.33,15.6,6.0,16%,3.0,8%,2.0,8.0%,0.6,.321,4.62,44%,20%,36%,30%,73%,-1.0,55.8706
3470,518886,"Kimbrel, Craig",36,R,BAL,AL,A,"3500 AAA",0,498.14,316,750,,6,3,61,,,6,,-6,-6,58.0,45,27,8,32,75,4.19,1.33,3.9,11.6,31%,5.0,13%,2.3,17.9%,1.2,.320,3.88,34%,21%,45%,29%,72%,1.6,99.575
8030,687911,"King, Bryan",28,L,HOU,AL,F,"2200 AFF",0,,,,,,,14,,,,2,-13,-13,15.0,14,6,2,6,14,3.60,1.33,4.5,8.4,22%,3.6,9%,2.3,12.8%,1.2,.321,4.09,44%,20%,36%,29%,77%,0.0,86.6564
6541,667463,"King, John",30,L,STL,NL,F,"1000 AFF",0,,,,,4,4,42,,,,13,-8,-8,44.0,47,17,6,11,30,3.48,1.32,4.3,6.1,16%,2.2,6%,2.7,10.4%,1.2,.319,4.40,44%,20%,36%,30%,78%,-1.6,81.8333
6280,650633,"King, Michael",29,R,SD,NL,C+,"5403 DAA",51,67.31,38,118,78,13,7,28,9,,3,,19,19,167.0,132,65,13,56,197,3.50,1.13,23.5,10.6,29%,3.0,8%,3.5,21.4%,0.7,.285,3.16,43%,23%,33%,30%,70%,19.3,148.9349
5807,641755,"Kinley, Tyler",34,R,COL,NL,B,"2310 FCD",8,495.70,289,750,267,5,4,57,,9,1,7,-8,-8,58.0,55,29,9,26,61,4.50,1.40,4.3,9.5,24%,4.0,10%,2.4,14.3%,1.4,.331,4.11,40%,21%,39%,31%,72%,-0.1,90.8182
6884,669923,"Kirby, George",27,R,SEA,AL,C+,"4203 AAA",39,52.22,23,262,,12,7,28,13,,,,18,18,167.0,162,64,19,22,159,3.45,1.10,23.4,8.6,24%,1.2,3%,7.2,20.9%,1.0,.281,3.49,43%,18%,39%,31%,72%,12.6,163.199
8044,685116,"Kitchen, Austin",28,L,SEA,AL,F,"1000 AFF",0,,,,,1,,10,,,1,,-13,-13,15.0,16,6,1,4,8,3.60,1.33,6.2,4.8,12%,2.4,6%,2.0,6.4%,0.6,.321,4.80,44%,20%,36%,30%,73%,-1.3,49.7134
5654,552640,"Kittredge, Andrew",34,R,BAL,AL,A,"4200 FDD",0,498.51,336,750,278,2,1,20,,,2,6,-9,-9,22.0,19,8,3,5,20,3.27,1.09,4.3,8.2,23%,2.0,5%,4.0,17.4%,1.2,.279,3.53,47%,18%,35%,27%,76%,1.6,133.2798
