HQID,MLBAMID,Player,Age,Throws,Tm,LG,LIMA,"MM Code",MM,ADP,"Min ADP","Max ADP",DL,W,L,G,QS,SV,BS,HD,12$,15$,IP,H,ER,HR,BB,K,ERA,WHIP,BF/G,K9,K%,BB/9,BB%,Cmd,K-BB%,HR9,OOB,xERA,G%,L%,F%,H%,S%,RAR,BPX
5255,573124,"Rogers, Taylor",34,L,CIN,NL,A+,"3410 BBB",11,476.92,320,746,,3,3,54,,4,3,21,-6,-6,51.0,45,21,6,19,56,3.71,1.25,3.9,9.9,26%,3.4,9%,3.0,17.8%,1.1,.308,3.64,44%,18%,38%,30%,74%,2.9,124.7282
6421,669432,"Rogers, Trevor",27,L,BAL,AL,B,"2200 FDB",0,494.99,388,750,220,2,2,9,3,,,,-15,-15,44.0,45,24,5,18,39,4.91,1.43,20.8,8.0,20%,3.7,9%,2.2,11.2%,1.0,.337,4.32,43%,22%,35%,32%,67%,-1.2,74.4333
6256,643511,"Rogers, Tyler",34,R,SF,NL,A,"3011 ABA",16,455.59,464,750,,4,4,73,,2,3,17,1,1,73.0,68,24,6,13,52,2.96,1.11,3.9,6.4,18%,1.6,4%,4.0,13.6%,0.7,.282,3.62,54%,17%,29%,28%,76%,4.3,118.7876
6099,605447,"Romano, Jordan",31,R,PHI,NL,B,"3320 FAB",22,236.18,105,500,147,6,3,55,,24,5,12,4,4,58.0,48,24,7,21,62,3.72,1.19,4.2,9.6,26%,3.3,9%,3.0,17.6%,1.1,.297,3.77,41%,17%,42%,28%,72%,2.4,118.742
6308,668941,"Romero, JoJo",28,L,STL,NL,A+,"3210 FDA",9,462.41,488,750,140,4,2,44,,2,6,17,-5,-5,44.0,39,17,4,13,38,3.48,1.18,4.0,7.8,21%,2.7,7%,2.9,14.2%,0.8,.295,3.65,50%,20%,30%,28%,72%,2.4,109.5063
4845,605452,"Ross, Joe",31,R,PHI,NL,C+,"1101 FFF",4,457.41,533,750,259,2,2,14,4,,,,-14,-14,73.0,73,36,10,27,57,4.44,1.37,21.9,7.0,18%,3.3,8%,2.1,9.8%,1.2,.327,4.68,41%,17%,42%,29%,71%,-5.3,63.4302
7962,694738,"Roupp, Landen",26,R,SF,NL,C+,"2200 AFC",0,491.04,285,692,,2,2,21,,,1,,-9,-9,65.0,56,26,6,33,60,3.60,1.37,13.0,8.3,22%,4.6,12%,1.8,9.9%,0.8,.327,4.14,47%,23%,30%,28%,75%,-0.3,58.3676
7994,688297,"Roycroft, Chris",27,R,STL,NL,F,"1000 AFF",0,,,,,1,2,17,,,2,,-14,-14,22.0,24,10,2,9,16,4.09,1.50,5.6,6.5,16%,3.7,9%,1.8,7.4%,0.8,.347,4.81,44%,20%,36%,32%,74%,-1.9,46.2243
5658,614179,"Ruiz, Jose",30,R,PHI,NL,B,"2300 ADB",0,,,,,3,3,50,,,1,1,-10,-10,51.0,48,23,8,21,51,4.06,1.35,4.3,9.0,23%,3.7,9%,2.4,14.1%,1.4,.324,4.03,43%,20%,37%,30%,75%,0.4,94.444
6439,671131,"Rutledge, Jackson",25,R,WSH,NL,F,"0100 AFF",0,451.99,617,728,,,1,3,1,,,,-18,-18,15.0,17,11,2,9,12,6.60,1.73,22.8,7.2,17%,5.4,13%,1.3,4.4%,1.2,.381,5.30,44%,20%,36%,33%,62%,-2.2,6.6132
6719,657746,"Ryan, Joe",28,R,MIN,AL,B+,"3303 DAA",36,107.24,54,189,82,10,7,27,10,,,,15,15,160.0,146,62,23,33,166,3.49,1.12,23.3,9.3,26%,1.9,5%,5.0,21.1%,1.3,.284,3.77,35%,17%,48%,30%,75%,6.5,149.2542
7166,656924,"Ryan, Ryder",29,R,PIT,NL,F,"0000 AFF",0,,,,,1,1,17,,,2,,-16,-16,22.0,26,13,4,8,13,5.32,1.55,5.7,5.3,13%,3.3,8%,1.6,5.2%,1.6,.354,5.12,44%,20%,36%,31%,70%,-2.8,33.6021
8079,681870,"Sabrowski, Erik",27,L,CLE,AL,A+,"2500 AFB",0,451.65,730,749,,2,1,16,,,1,,-11,-11,22.0,16,9,2,15,28,3.68,1.41,5.8,11.4,30%,6.1,16%,1.9,14.0%,0.8,.333,3.92,44%,20%,36%,29%,75%,0.5,71.0582
7324,674285,"Salazar, Eduardo",26,R,WSH,NL,F,"0000 AFF",0,,,,,3,2,19,,,,5,-18,-18,44.0,59,24,3,15,27,4.91,1.68,10.4,5.5,13%,3.1,7%,1.8,6.1%,0.6,.374,5.18,44%,20%,36%,36%,70%,-5.9,43.8641
3548,519242,"Sale, Chris",35,L,ATL,NL,C,"5403 FAB",51,41.25,18,91,246,13,9,32,11,,,,26,26,174.0,137,59,18,49,193,3.05,1.07,21.1,10.0,28%,2.5,7%,3.9,21.3%,0.9,.275,3.22,44%,21%,35%,28%,75%,18.8,152.0249
7957,683690,"Salinas, Royber",23,R,ATL,NL,F,"1300 AFF",0,,,,,3,,8,2,,,,-15,-15,36.0,33,19,4,25,37,4.75,1.61,19.9,9.2,23%,6.2,15%,1.5,7.5%,1.0,.364,4.76,44%,20%,36%,31%,72%,-3.0,22.5193
8048,676614,"Sammons, Bryan",29,L,DET,AL,F,"0000 AFF",0,,,,,2,2,6,2,,,,-16,-16,29.0,31,16,4,14,21,4.97,1.55,21.1,6.5,16%,4.3,11%,1.5,5.5%,1.2,.355,5.01,44%,20%,36%,30%,70%,-3.3,25.29
5193,592716,"Sampson, Adrian",33,R,TEX,AL,F,"0000 AFF",0,,,,,,1,1,0,,,,-17,-17,7.0,11,5,1,3,5,6.43,2.00,33.7,6.4,14%,3.9,8%,1.7,5.9%,1.3,.415,5.35,44%,20%,36%,40%,69%,-1.1,38.22
6305,650911,"Sanchez, Cristopher",28,L,PHI,NL,B+,"4103 BBA",36,185.74,112,284,24,9,7,39,13,,,,3,3,174.0,170,75,14,51,147,3.88,1.27,18.2,7.6,20%,2.6,7%,2.9,13.5%,0.7,.310,3.51,56%,20%,24%,31%,70%,12.6,113.4742
6017,664350,"Sanchez, Sixto",26,R,MIA,NL,C+,"1000 FFF",0,451.16,590,590,294,1,1,7,,,,1,-15,-15,22.0,24,12,2,8,14,4.91,1.45,13.4,5.7,14%,3.3,8%,1.8,6.4%,0.8,.340,4.53,52%,18%,30%,31%,66%,-1.2,51.1387
6678,680704,"Sandlin, Nick",28,R,TOR,AL,A+,"2400 BCA",0,452.13,630,745,18,6,7,72,,,2,14,-5,-5,65.0,54,29,10,30,74,4.02,1.29,3.7,10.2,27%,4.2,11%,2.5,16.5%,1.4,.314,3.95,40%,15%,44%,28%,74%,1.2,103.1325
6097,663776,"Sandoval, Patrick",28,L,BOS,AL,F,"2200 FFF",0,453.92,510,749,92,2,3,9,3,,,,-14,-14,44.0,45,22,5,20,42,4.50,1.48,21.0,8.6,22%,4.1,10%,2.1,11.6%,1.0,.344,4.28,44%,21%,35%,32%,71%,-1.0,75.4709
6985,663485,"Sands, Cole",27,R,MIN,AL,B+,"3400 CDC",0,504.70,336,750,48,4,4,37,,,2,14,-4,-4,58.0,53,23,5,17,63,3.57,1.21,6.3,9.8,26%,2.6,7%,3.7,19.7%,0.8,.300,3.71,39%,18%,43%,32%,72%,2.8,138.8326
5884,642701,"Santana, Dennis",28,R,PIT,NL,A+,"3310 BCF",10,504.17,353,750,31,3,3,54,,5,1,11,-5,-5,58.0,51,25,5,19,60,3.88,1.21,4.3,9.3,25%,3.0,8%,3.2,17.6%,0.8,.300,3.84,38%,21%,42%,30%,69%,1.8,118.5026
6025,663574,"Santillan, Tony",27,R,CIN,NL,A+,"4510 FDF",14,490.26,333,734,213,3,3,37,,4,1,13,-5,-5,44.0,37,18,6,16,57,3.68,1.20,4.8,11.7,32%,3.3,9%,3.6,23.2%,1.2,.299,3.44,33%,23%,45%,31%,74%,3.6,151.1812
6670,666619,"Santos, Gregory",25,R,SEA,AL,B,"4210 FCA",11,485.59,357,750,208,2,2,54,,2,3,11,-9,-9,58.0,56,24,3,22,54,3.72,1.34,4.5,8.4,22%,3.4,9%,2.5,13.2%,0.5,.323,3.49,52%,26%,21%,32%,72%,4.3,101.2169
8147,808963,"Sasaki, Roki",23,R,LA,NL,B+,"4401 AAC",13,97.93,19,410,,9,5,24,8,,,,9,9,123.0,103,46,12,42,136,3.37,1.18,20.5,9.9,27%,3.1,8%,3.2,19.1%,0.9,.295,3.54,42%,20%,38%,30%,74%,8.5,132.5044
6715,642048,"Saucedo, Tayler",31,L,SEA,AL,F,"3210 FFF",9,451.34,750,750,182,1,1,63,,2,,11,-12,-12,58.0,54,26,5,26,51,4.03,1.38,3.9,7.9,20%,4.0,10%,2.0,10.3%,0.8,.329,3.86,55%,20%,25%,30%,72%,1.7,75.9041
2841,453286,"Scherzer, Max",40,R,TOR,AL,A+,"2201 FAA",7,349.73,94,508,214,9,6,25,13,,,,5,5,123.0,108,54,20,32,119,3.95,1.14,19.5,8.7,24%,2.3,6%,3.7,17.9%,1.5,.288,3.98,33%,21%,46%,27%,71%,1.7,119.2665
6480,657376,"Schmidt, Clarke",29,R,NYY,AL,B+,"3303 FAB",36,238.71,161,351,104,9,7,27,7,,,,8,8,145.0,131,56,17,49,153,3.48,1.24,21.8,9.5,25%,3.0,8%,3.1,17.7%,1.1,.306,3.76,42%,18%,40%,30%,76%,6.0,124.1923
6230,670167,"Schreiber, John",31,R,KC,AL,F,"3300 CFF",0,451.06,506,506,93,3,3,66,,,,14,-6,-6,65.0,56,27,5,24,65,3.74,1.23,4.0,9.0,24%,3.3,9%,2.7,15.6%,0.7,.304,3.65,47%,18%,33%,30%,70%,3.6,111.0114
7997,680885,"Schwellenbach, Spencer",24,R,ATL,NL,C+,"4303 AFF",42,95.96,50,165,,12,7,27,9,,,,22,22,160.0,133,60,16,29,160,3.38,1.01,22.7,9.0,26%,1.6,4%,5.5,21.4%,0.9,.264,3.28,42%,22%,36%,28%,69%,16.1,157.3383
5727,656945,"Scott, Tanner",30,L,LA,NL,C+,"5520 AAB",34,165.70,60,399,,7,4,67,,20,3,10,7,7,65.0,48,21,4,35,83,2.91,1.28,4.0,11.5,31%,4.8,13%,2.4,18.0%,0.6,.312,3.24,49%,23%,28%,30%,78%,6.9,117.294
5835,605463,"Scott, Tayler",32,R,HOU,AL,D,"2300 AFF",0,451.36,531,693,12,3,2,59,,,,19,-10,-10,65.0,59,28,7,33,66,3.88,1.42,4.7,9.1,23%,4.6,11%,2.0,12.0%,1.0,.334,4.20,44%,20%,36%,30%,75%,-0.8,71.9818
6955,676664,"Sears, JP",29,L,ATH,AL,A+,"1103 AAC",18,451.58,228,589,,7,7,31,10,,,,0,0,174.0,164,81,27,45,137,4.19,1.20,22.6,7.1,19%,2.3,6%,3.0,13.2%,1.4,.299,4.45,37%,17%,46%,27%,70%,-7.5,90.8866
7404,681882,"Selby, Colin",27,R,BAL,AL,F,"2300 AFF",0,,,,,1,1,14,,,,,-14,-14,15.0,13,8,1,7,15,4.80,1.33,4.5,9.0,24%,4.2,11%,2.1,12.8%,0.6,.321,4.03,44%,20%,36%,30%,63%,0.1,80.4992
6591,673540,"Senga, Kodai",32,R,NYM,NL,B+,"3403 FAC",39,155.96,89,273,171,11,8,26,9,,,,8,8,145.0,113,57,12,73,163,3.54,1.28,22.9,10.1,27%,4.5,12%,2.2,15.1%,0.7,.313,3.78,45%,19%,36%,29%,74%,5.6,94.4668
5509,622608,"Senzatela, Antonio",30,R,COL,NL,C+,"2003 FDC",21,453.53,522,599,441,6,4,30,6,,,,-17,-17,145.0,165,76,20,43,91,4.72,1.43,20.6,5.7,14%,2.7,6%,2.1,7.8%,1.2,.337,4.32,50%,23%,26%,31%,70%,-3.9,65.6878
4865,622663,"Severino, Luis",31,R,ATH,AL,A,"2205 FAC",55,302.77,171,379,149,8,14,33,11,,,,1,1,181.0,169,82,24,59,167,4.08,1.26,22.4,8.3,22%,2.9,7%,2.8,14.6%,1.2,.309,3.99,43%,18%,38%,29%,71%,2.4,104.0903
5511,623149,"Sewald, Paul",34,R,CLE,AL,A+,"3400 DAA",0,480.62,265,736,108,3,3,60,,,5,13,-4,-4,58.0,47,23,10,17,66,3.57,1.10,3.8,10.2,28%,2.6,7%,3.9,21.5%,1.6,.281,3.82,29%,18%,53%,27%,75%,2.0,136.8715
6450,694363,"Shuster, Jared",26,L,CWS,AL,C,"0110 ACC",2,,,,,2,2,22,,2,1,10,-15,-15,58.0,60,31,9,23,45,4.81,1.43,11.2,7.0,18%,3.6,9%,2.0,8.9%,1.4,.337,4.98,35%,20%,45%,30%,70%,-6.3,48.1741
6996,681217,"Silseth, Chase",24,R,LAA,AL,B,"2200 FDD",0,484.06,353,750,110,2,2,9,2,,,,-14,-14,44.0,44,23,6,19,41,4.70,1.43,20.8,8.4,21%,3.9,10%,2.2,11.8%,1.2,.337,4.13,47%,21%,33%,31%,70%,-0.2,80.9439
4495,608371,"Sims, Lucas",30,R,WSH,NL,F,"2300 FFF",0,455.32,562,734,209,2,3,53,,,,16,-14,-14,51.0,45,26,8,28,53,4.59,1.43,4.1,9.3,24%,4.9,12%,1.9,11.5%,1.4,.337,4.05,48%,20%,32%,28%,72%,0.3,69.4619
6364,663903,"Singer, Brady",28,R,CIN,NL,A,"3303 BAB",36,349.14,211,437,15,8,8,30,11,,,,-3,-3,167.0,169,79,26,52,163,4.26,1.32,23.1,8.8,23%,2.8,7%,3.1,16.0%,1.4,.319,3.70,46%,22%,32%,31%,72%,8.2,121.3645
7250,681895,"Sisk, Evan",27,L,KC,AL,F,"3300 AFF",0,,,,,2,1,15,,,1,,-8,-8,15.0,10,3,,7,15,1.80,1.13,4.0,9.0,25%,4.2,11%,2.1,13.5%,,.287,3.81,44%,20%,36%,26%,82%,0.5,80.4992
7874,694973,"Skenes, Paul",22,R,PIT,NL,C,"5505 ADF",100,12.60,3,33,,14,7,31,10,,,,37,37,189.0,143,56,15,51,240,2.67,1.03,23.4,11.4,33%,2.4,7%,4.7,26.0%,0.7,.267,2.67,51%,18%,31%,30%,77%,33.3,192.8446
6292,669373,"Skubal, Tarik",28,L,DET,AL,C,"5403 FAB",51,15.42,3,33,164,13,5,28,12,,,,31,31,174.0,138,56,14,36,201,2.90,1.00,23.7,10.4,30%,1.9,5%,5.6,24.8%,0.7,.262,3.00,45%,19%,37%,30%,73%,23.5,182.4117
7926,686580,"Slaten, Justin",27,R,BOS,AL,A,"5310 DDC",14,437.44,291,624,49,5,3,45,,9,3,23,2,2,58.0,51,20,6,15,62,3.10,1.14,5.1,9.6,27%,2.3,6%,4.1,20.5%,0.9,.287,3.04,52%,21%,28%,30%,76%,7.6,159.9152
7909,671922,"Smith, Cade",25,R,CLE,AL,B+,"5510 ADF",16,397.54,236,583,,5,3,55,,2,2,23,7,7,65.0,46,19,4,17,86,2.63,0.97,4.5,11.9,34%,2.4,6%,5.1,28.0%,0.6,.256,2.73,43%,20%,37%,30%,74%,10.9,196.0372
7329,700363,"Smith-Shawver, AJ",22,R,ATL,NL,C,"1200 DDC",0,469.39,294,600,47,3,3,14,4,,,,-15,-15,65.0,62,35,15,32,57,4.85,1.45,19.8,7.9,20%,4.4,11%,1.8,9.0%,2.1,.339,4.85,34%,24%,42%,27%,74%,-6.0,39.2348
6790,669912,"Snead, Kirby",30,L,SEA,AL,F,"0000 AFF",0,,,,,2,2,16,,,,,-17,-17,15.0,20,12,2,6,10,7.20,1.73,4.3,6.0,14%,3.6,8%,1.7,5.9%,1.2,.381,5.14,44%,20%,36%,35%,58%,-1.9,37.3991
5006,605483,"Snell, Blake",32,L,LA,NL,B,"5503 FAA",54,52.59,19,105,105,10,3,32,13,,,,19,19,160.0,110,58,19,72,226,3.26,1.14,19.8,12.7,35%,4.0,11%,3.1,24.3%,1.1,.287,3.04,41%,19%,39%,28%,76%,21.0,157.84
8186,702281,"Snelling, Robby",21,L,MIA,NL,F,"1200 AFF",0,460.81,559,749,,1,3,8,2,,,,-22,-22,36.0,47,26,6,14,32,6.50,1.69,20.3,8.0,19%,3.5,8%,2.3,11.1%,1.5,.375,4.56,44%,20%,36%,37%,63%,-2.0,81.5254
6950,676092,"Snider, Collin",29,R,SEA,AL,B,"2300 BDD",0,471.29,439,750,16,4,4,57,,,3,4,-9,-9,58.0,55,25,6,26,57,3.88,1.40,4.3,8.8,23%,4.0,10%,2.2,12.7%,0.9,.331,4.22,39%,23%,37%,31%,74%,-0.9,76.7479
6664,656981,"Solomon, Peter",28,R,TEX,AL,F,"0000 AFF",0,,,,,1,1,2,,,,,-16,-16,7.0,9,6,2,4,5,7.71,1.86,16.4,6.4,15%,5.1,12%,1.2,3.0%,2.6,.397,5.43,44%,20%,36%,32%,63%,-1.1,-1.1858
7202,666277,"Soriano, George",25,R,MIA,NL,F,"2200 AFF",0,,,,,,3,27,,,2,13,-18,-18,44.0,40,27,10,20,40,5.52,1.36,6.8,8.2,21%,4.1,10%,2.0,10.9%,2.0,.326,4.28,44%,20%,36%,26%,66%,-1.0,67.0561
7331,667755,"Soriano, Jose",26,R,LAA,AL,A,"3203 DCA",33,352.38,256,446,46,7,8,27,9,,,,2,2,145.0,123,59,9,62,131,3.66,1.28,22.0,8.1,22%,3.9,10%,2.1,11.6%,0.6,.311,3.69,54%,20%,25%,29%,71%,7.3,84.8206
5592,647336,"Soroka, Michael",27,R,WSH,NL,C,"1203 FCC",21,483.06,255,750,239,8,5,33,,,2,,-6,-6,131.0,107,62,20,71,123,4.26,1.36,16.6,8.4,22%,4.9,12%,1.7,9.5%,1.4,.325,4.49,42%,18%,39%,26%,73%,-6.4,45.9963
6093,642397,"Soto, Gregory",30,L,BAL,AL,B,"3400 ABA",0,451.85,651,732,,3,3,75,,,2,9,-13,-13,65.0,59,32,7,34,72,4.43,1.43,3.7,10.0,26%,4.7,12%,2.1,13.8%,1.0,.337,3.82,50%,18%,32%,31%,70%,2.2,91.5479
7937,687765,"Spence, Mitch",26,R,ATH,AL,B,"2101 ABB",6,504.38,336,739,,6,6,27,9,,,,-15,-15,123.0,137,65,18,39,98,4.76,1.43,19.4,7.2,18%,2.9,7%,2.5,11.3%,1.3,.337,4.31,47%,17%,35%,32%,70%,-3.2,87.922
7829,686730,"Spiers, Carson",27,R,CIN,NL,C+,"0201 BCD",3,454.01,585,745,17,4,4,18,,,,,-22,-22,73.0,89,45,16,28,63,5.55,1.60,17.9,7.8,19%,3.5,8%,2.2,10.8%,2.0,.362,4.95,35%,20%,45%,33%,71%,-7.7,68.0823
5944,605488,"Springs, Jeffrey",32,L,ATH,AL,B+,"3303 FCD",36,258.98,155,363,318,7,8,29,12,,1,,10,10,152.0,141,55,17,38,151,3.26,1.18,20.9,8.9,24%,2.2,6%,4.0,18.6%,1.0,.295,3.76,38%,20%,41%,30%,76%,6.3,132.4588
8115,687075,"Sproat, Brandon",24,R,NYM,NL,F,"3200 AFF",0,490.54,324,710,,1,1,4,1,,,,-12,-12,22.0,20,11,3,6,20,4.50,1.18,22.0,8.2,22%,2.5,6%,3.3,15.9%,1.2,.295,3.77,44%,20%,36%,28%,65%,0.9,117.5448
5554,592773,"Stanek, Ryne",33,R,NYM,NL,A,"1400 BCB",0,453.33,614,750,18,4,4,56,,,4,13,-10,-10,51.0,42,24,7,28,58,4.24,1.37,3.8,10.2,27%,4.9,13%,2.1,14.0%,1.2,.327,4.40,33%,18%,49%,28%,73%,-1.9,70.6249
6378,657006,"Steele, Justin",29,L,CHI,NL,B+,"4303 FAA",42,131.45,54,196,101,12,9,35,13,,,,18,18,174.0,151,60,15,57,177,3.10,1.20,20.0,9.2,25%,3.0,8%,3.1,17.2%,0.8,.298,3.51,48%,19%,33%,30%,76%,12.6,126.8262
6650,663986,"Stephan, Trevor",29,R,CLE,AL,C,"3400 FCC",0,,,,171,4,2,37,,,3,4,-7,-7,44.0,37,19,5,18,50,3.89,1.25,4.8,10.2,27%,3.7,10%,2.8,17.9%,1.0,.307,3.71,41%,19%,40%,30%,72%,2.1,118.3316
4856,596112,"Stephenson, Robert",32,R,LAA,AL,A+,"4410 FCC",13,491.71,380,750,206,2,2,45,,2,2,5,-5,-5,44.0,34,18,6,12,52,3.68,1.05,3.8,10.6,30%,2.5,7%,4.3,23.5%,1.2,.271,3.41,33%,21%,46%,28%,70%,3.8,155.4912
8001,686993,"Sterner, Justin",28,R,ATH,AL,F,"3300 AFF",0,,,,,3,5,43,,,4,5,-6,-6,58.0,50,23,8,21,58,3.57,1.22,5.5,9.0,24%,3.3,8%,2.8,15.8%,1.2,.303,3.77,44%,20%,36%,28%,76%,2.3,109.4379
5302,592779,"Stewart, Brock",33,R,MIN,AL,C,"4500 FFF",0,452.45,591,737,223,3,3,43,,,3,10,-6,-6,44.0,35,17,5,20,59,3.48,1.25,4.2,12.1,32%,4.1,11%,3.0,21.8%,1.0,.307,3.52,35%,20%,45%,31%,76%,3.1,136.632
5338,621381,"Strahm, Matt",33,L,PHI,NL,B+,"4511 DBA",30,467.61,303,632,40,7,5,73,,2,7,19,8,8,73.0,55,24,6,18,88,2.96,1.00,3.8,10.8,31%,2.2,6%,4.9,25.1%,0.7,.262,3.35,33%,18%,49%,29%,73%,6.7,166.8819
5045,608717,"Stratton, Chris",34,R,KC,AL,F,"1200 AFF",0,,,,16,3,3,58,,,,9,-14,-14,58.0,53,30,5,29,50,4.66,1.41,4.2,7.8,20%,4.5,11%,1.7,8.6%,0.8,.334,4.57,42%,22%,36%,29%,67%,-3.3,43.5334
6888,675911,"Strider, Spencer",26,R,ATL,NL,B,"4503 FAB",48,131.23,51,273,176,10,6,25,12,,,,7,7,131.0,103,57,14,54,169,3.92,1.20,21.1,11.6,32%,3.7,10%,3.1,21.8%,1.0,.298,3.40,37%,22%,41%,30%,69%,11.3,141.1701
4571,573186,"Stroman, Marcus",33,R,NYY,AL,C+,"2101 DAA",6,506.02,363,734,87,6,6,22,8,,,,-11,-11,116.0,122,54,13,47,93,4.19,1.46,22.6,7.2,18%,3.6,9%,2.0,9.3%,1.0,.341,4.28,50%,20%,30%,31%,73%,-2.6,67.7402
7024,657265,"Strzelecki, Peter",30,R,PIT,NL,F,"1100 AFF",0,,,,,2,2,35,,,1,,-20,-20,36.0,46,24,3,13,30,6.00,1.64,4.6,7.5,18%,3.2,8%,2.3,10.6%,0.8,.368,4.61,44%,20%,36%,37%,62%,-2.3,78.9599
3956,544150,"Suarez, Albert",35,R,BAL,AL,C+,"1101 AAB",4,507.89,423,750,,5,4,18,6,,,,-11,-11,94.0,99,46,12,31,78,4.40,1.38,21.9,7.5,19%,3.0,7%,2.5,11.9%,1.1,.329,4.63,34%,24%,43%,31%,71%,-6.2,75.5621
5893,660761,"Suarez, Jose",27,L,LAA,AL,C+,"1200 FCD",0,451.41,531,733,127,3,3,17,,,,14,-17,-17,58.0,61,34,10,25,54,5.28,1.48,14.7,8.4,21%,3.9,10%,2.2,11.6%,1.6,.345,4.45,39%,23%,38%,31%,68%,-2.5,71.9248
5937,624133,"Suarez, Ranger",29,L,PHI,NL,B+,"4203 DAB",39,263.09,195,330,108,10,8,25,9,,,,6,6,145.0,135,59,15,45,138,3.66,1.24,23.6,8.6,23%,2.8,7%,3.1,15.8%,0.9,.306,3.43,52%,21%,27%,30%,73%,11.9,124.2037
6907,663158,"Suarez, Robert",34,R,SD,NL,C+,"3320 FCA",22,104.01,49,332,174,6,4,57,,23,5,9,7,7,58.0,46,21,7,19,57,3.26,1.12,4.0,8.8,24%,3.0,8%,3.0,16.6%,1.1,.284,3.66,44%,19%,37%,26%,75%,3.2,115.6977
6592,608372,"Sugano, Tomoyuki",35,R,BAL,AL,C+,"2101 AAC",6,351.77,192,499,,8,7,20,6,,,,5,5,123.0,114,49,20,27,93,3.59,1.15,24.4,6.8,19%,2.0,5%,3.4,13.5%,1.5,.289,4.03,43%,20%,37%,27%,76%,1.0,102.551
8114,807743,"Sullivan, Sean",22,L,COL,NL,F,"1001 AFF",3,,,,,5,,16,5,,,,-9,-9,73.0,79,34,7,16,43,4.19,1.30,18.8,5.3,14%,2.0,5%,2.7,9.0%,0.9,.316,4.55,44%,20%,36%,30%,69%,-4.1,73.2132
6032,657024,"Swanson, Erik",31,R,TOR,AL,A+,"3400 DCD",0,474.97,308,749,64,2,2,39,,,1,5,-8,-8,36.0,31,14,6,11,41,3.50,1.17,3.7,10.2,28%,2.8,7%,3.7,20.9%,1.5,.293,3.58,39%,17%,44%,29%,77%,2.3,145.0924
4490,592791,"Taillon, Jameson",33,R,CHI,NL,B,"2103 DAA",24,349.06,224,410,37,12,11,30,10,,,,6,6,167.0,167,75,24,36,132,4.04,1.22,22.5,7.1,19%,1.9,5%,3.7,14.2%,1.3,.301,4.20,39%,20%,41%,29%,71%,-2.2,105.5839
8068,700187,"Taylor, Troy",23,R,SEA,AL,A+,"2210 AFF",7,452.05,583,748,,4,4,60,,4,2,8,-3,-3,58.0,50,21,6,21,54,3.26,1.22,3.9,8.4,23%,3.3,8%,2.6,14.1%,0.9,.303,3.97,43%,21%,37%,28%,76%,0.9,95.5729
7948,678906,"Teng, Kai-Wei",26,R,SF,NL,F,"0000 AFF",0,,,,,1,2,7,,,,,-24,-24,22.0,29,21,3,12,14,8.59,1.86,14.7,5.7,13%,4.9,11%,1.2,1.9%,1.2,.398,5.75,44%,20%,36%,35%,52%,-4.5,-8.4718
8144,693713,"Teodo, Emiliano",24,R,TEX,AL,F,"2300 AFF",0,468.53,493,750,,1,1,3,1,,,,-13,-13,15.0,12,7,2,9,16,4.20,1.40,21.1,9.6,25%,5.4,14%,1.8,11.1%,1.2,.332,4.17,44%,20%,36%,27%,73%,-0.1,55.8706
4368,573204,"Thielbar, Caleb",38,L,CHI,NL,F,"3300 FFF",0,,,,118,2,1,47,,,,9,-8,-8,44.0,38,17,4,15,46,3.48,1.20,3.8,9.4,25%,3.1,8%,3.1,17.5%,0.8,.299,3.75,39%,22%,39%,30%,73%,1.9,118.0009
7262,671162,"Thomas, Connor",26,L,MIL,NL,F,"1000 AFF",0,,,,,1,1,9,,,,,-12,-12,15.0,18,5,1,4,11,3.00,1.47,7.1,6.6,17%,2.4,6%,2.8,10.9%,0.6,.342,4.42,44%,20%,36%,35%,81%,-0.6,86.6564
6620,624522,"Thompson, Keegan",29,R,CHI,NL,F,"2300 FFF",0,451.29,708,708,102,2,2,43,,,,5,-10,-10,44.0,37,18,5,21,43,3.68,1.32,4.2,8.8,23%,4.3,11%,2.0,12.1%,1.0,.319,4.29,40%,20%,40%,28%,75%,-1.0,68.755
6500,657044,"Thompson, Ryan",32,R,ARI,NL,A+,"3110 CDB",8,,,,14,6,3,67,,4,7,14,-1,-1,65.0,61,25,6,18,52,3.46,1.22,3.9,7.2,19%,2.5,6%,2.9,13.0%,0.8,.301,3.65,55%,17%,28%,29%,74%,3.6,108.7423
7025,668868,"Thompson, Zack",27,L,STL,NL,F,"1200 AFF",0,,,,,1,1,5,1,,,,-16,-16,22.0,20,13,2,14,20,5.32,1.55,19.2,8.2,20%,5.7,14%,1.4,6.2%,0.8,.354,4.86,44%,20%,36%,30%,65%,-2.1,16.5673
6087,663423,"Thornton, Trent",31,R,SEA,AL,A+,"3310 BDB",10,454.00,668,742,,3,3,51,,2,1,11,-5,-5,58.0,54,22,7,16,58,3.41,1.21,4.6,9.0,24%,2.5,6%,3.6,18.0%,1.1,.300,3.78,38%,22%,40%,30%,76%,2.3,126.6095
7950,689672,"Thorpe, Drew",24,R,CWS,AL,C+,"0001 DDF",1,494.83,425,747,45,4,5,16,5,,,,-14,-14,87.0,88,47,14,29,59,4.86,1.34,22.6,6.1,16%,3.0,8%,2.0,8.3%,1.4,.323,5.10,36%,16%,48%,28%,68%,-10.7,48.8012
